"ensemble_id","terminal_year","sb_recent_period","sb0_recent_period","recent_depletion_period","f_recent_period","sb_recent_kt","sb0_recent_kt","sb_recent_sb0","recent_mean_depletion","sb_recent_sbmsy","f_recent_fmsy","historical_target_period","historical_target_depletion","recent_historical_target_ratio","below_lrp_020","below_sbmsy","above_fmsy"
"ensemble-025",2024,"2021–2024","2014–2023","2021–2024","2020–2023",277.653625,1546.45725,0.179541739676283,0.178745809780604,1.07492692605497,1.15127791848952,"2012–2015",0.178327993972156,1.00234296253292,TRUE,FALSE,TRUE
"ensemble-027",2024,"2021–2024","2014–2023","2021–2024","2020–2023",294.9195,1311.66375,0.224843829068235,0.224732840323468,1.24648985629755,0.938967136150235,"2012–2015",0.231646099478694,0.970155944042299,FALSE,FALSE,FALSE
"ensemble-029",2024,"2021–2024","2014–2023","2021–2024","2020–2023",298.5004375,1324.02125,0.225449884206919,0.225071695843374,1.33617026633841,0.925925925925926,"2012–2015",0.228129043994569,0.986598163488257,FALSE,FALSE,FALSE
"ensemble-030",2024,"2021–2024","2014–2023","2021–2024","2020–2023",354.7498125,874.65275,0.405589318160836,0.401866583805821,2.65134389013453,0.460829493087558,"2012–2015",0.413898456006275,0.970930376700242,FALSE,FALSE,FALSE
"ensemble-031",2024,"2021–2024","2014–2023","2021–2024","2020–2023",306.491625,1619.079,0.189299981656238,0.189624148810678,1.02677261306533,1.0680337498665,"2012–2015",0.198061051555863,0.957402514634206,TRUE,FALSE,TRUE
"ensemble-032",2024,"2021–2024","2014–2023","2021–2024","2020–2023",324.6255625,1393.5224,0.232953243162794,0.231543934252515,1.41264387510879,0.914913083257091,"2012–2015",0.222971581445487,1.03844594343124,FALSE,FALSE,FALSE
"ensemble-033",2024,"2021–2024","2014–2023","2021–2024","2020–2023",282.734,1059.5375,0.266846619397615,0.264856947008791,1.85277850589777,0.749625187406297,"2012–2015",0.265366866785919,0.998078434646704,FALSE,FALSE,FALSE
"ensemble-034",2024,"2021–2024","2014–2023","2021–2024","2020–2023",268.343125,1534.96875,0.17481992711578,0.173953531758859,1.01185190422323,1.19217930376729,"2012–2015",0.182097746354644,0.955275588200179,TRUE,FALSE,TRUE
"ensemble-035",2024,"2021–2024","2014–2023","2021–2024","2020–2023",294.3775,1460.47675,0.201562606183221,0.200508717404133,1.20943919474117,1.05730598435187,"2012–2015",0.199922504431819,1.00293220102449,FALSE,FALSE,TRUE
"ensemble-036",2024,"2021–2024","2014–2023","2021–2024","2020–2023",525.710125,1877.2925,0.280036342232231,0.278313988485341,1.64079314918851,0.825763831544178,"2012–2015",0.289576507559064,0.961106931053701,FALSE,FALSE,FALSE
"ensemble-037",2024,"2021–2024","2014–2023","2021–2024","2020–2023",262.1766875,1989.58125,0.13177480814116,0.131504701084273,0.764586431904345,1.43967751223726,"2012–2015",0.13697160592672,0.96008731294739,TRUE,TRUE,TRUE
