"ensemble_id","year","depletion","spawning_potential","spawning_potential_nofish","recruitment","fishing_mortality","sb_sbmsy","f_fmsy"
"ensemble-001",1952,0.993138416759634,1286.3675,1295.255,143.88831,0.00791589027820766,6.581,0.0590775
"ensemble-001",1953,0.972152831579146,1286.1825,1323.025,120.221504,0.00759629340546124,6.58025,0.0550475
"ensemble-001",1954,0.960371216224517,1289.925,1343.1525,171.773308,0.00512775851218964,6.59925,0.0371125
"ensemble-001",1955,0.951270937839186,1297.115,1363.56,166.048168,0.00792267206507786,6.63575,0.05843
"ensemble-001",1956,0.939037741804572,1301.565,1386.0625,98.0334686,0.0106070528742795,6.659,0.0654325
"ensemble-001",1957,0.927663623310869,1350.335,1455.63,73.601332,0.0161188265315909,6.90825,0.0904325
"ensemble-001",1958,0.905026642065148,1312.085,1449.775,179.375648,0.0200359941163183,6.71275,0.13523
"ensemble-001",1959,0.875194067168445,1186.6275,1355.845,55.004827,0.0153700002629702,6.0705,0.1240575
"ensemble-001",1960,0.851882222739047,1062.2375,1246.93,129.2789891,0.0144794457569448,5.4345,0.1236475
"ensemble-001",1961,0.844308766697428,1036.1125,1227.1725,64.59809,0.0153573802304422,5.301,0.1218625
"ensemble-001",1962,0.835245478477167,978.82,1171.895,116.304021,0.0125733360254322,5.00775,0.1175875
"ensemble-001",1963,0.826462894733913,928.1075,1122.9875,104.993065,0.0163587259139551,4.74825,0.1510675
"ensemble-001",1964,0.814481199512645,867.3675,1064.9325,74.8750388,0.0118812654166612,4.4375,0.1119375
"ensemble-001",1965,0.820702917804006,847.1275,1032.1975,71.9637272,0.013783788912836,4.33375,0.105195
"ensemble-001",1966,0.82649648471385,840.83,1017.3425,152.359812,0.0120227599987071,4.30175,0.1192375
"ensemble-001",1967,0.82150264506911,802.07,976.345,48.115383,0.0168220678117831,4.103,0.128425
"ensemble-001",1968,0.818752212104637,763.38,932.37,87.127589,0.0133180542374889,3.90525,0.1048125
"ensemble-001",1969,0.824379050827222,773.3335,938.08,111.8847996,0.0147696195238267,3.95625,0.1308675
"ensemble-001",1970,0.820814971027092,748.2775,911.6275,74.564267,0.0288995907130664,3.82825,0.123475
"ensemble-001",1971,0.819115299477888,729.9075,891.0925,70.065157,0.0297203950018749,3.734,0.1268175
"ensemble-001",1972,0.815594991592435,733.6175,899.4875,74.452904,0.0373992796419718,3.75325,0.176
"ensemble-001",1973,0.795740432612313,687.47,863.9375,98.817649,0.0247527711848027,3.517,0.147725
"ensemble-001",1974,0.785125460987779,651.45,829.74,57.405764,0.0411480090517057,3.33275,0.165275
"ensemble-001",1975,0.774115224206162,635.2525,820.6175,145.950491,0.0323648191830254,3.24975,0.20835
"ensemble-001",1976,0.750189287804635,602.4095,803.01,70.503852,0.0401053404677462,3.082,0.21815
"ensemble-001",1977,0.733303991955572,599.8115,817.9575,112.149233,0.0507777967759991,3.0685,0.241425
"ensemble-001",1978,0.728957295207936,626.116,858.92,19.3764977,0.042076815519486,3.20325,0.20095
"ensemble-001",1979,0.715852768201176,617.72725,862.925,84.084669,0.0516354231858255,3.1605,0.26185
