"ensemble_id","Component","Value"
"ensemble-001","Tag",6397.57259380988
"ensemble-001","Length frequency",89023.3767932428
"ensemble-001","Weight frequency",0
"ensemble-001","Age",3578.68640699919
"ensemble-001","CPUE",-1067.2647620273
"ensemble-001","Catch",0
"ensemble-001","Average Regional Biomass Distribution Penalty Contribution",0
"ensemble-001","Average Regional Recruitment Distribution Penalty Contribution",2.27373675443e-12
"ensemble-001","Do Everything Calc Penalty Contribution",1.53146672784
"ensemble-001","Effort dev penalty",0
"ensemble-001","Implicit Fm Level Regression Coefficients Penalty Contribution",0
"ensemble-001","Implicit Fm Level Regression Penalty Contribution",0
"ensemble-001","Incident Selectivity Curvature Penalty",2.89956066625
"ensemble-001","Initial Population Age Composition Penalty Contribution",1.20718458438
"ensemble-001","Initial Population Recruitment Penalty Contribution",2.40950546122e-08
"ensemble-001","Kludged Equilibrium Survival Penalty Contribution",0
"ensemble-001","Maximum Age Lag Fishing Mortality Penalty (all Fisheries)",0
"ensemble-001","Maximum Fishing Mortality Penalty (all Fisheries)",0
"ensemble-001","Mean length penalty",0
"ensemble-001","Movement Diffusion Coefficients Penalty Contribution",0.0458742859012
"ensemble-001","Non Spline Selectivity Curvature Penalty (all Fisheries)",0
"ensemble-001","Normal Distribution Temporal Recruitment Deviates Penalty Contribution",0
"ensemble-001","Orthogonal Polynomial Recruitment Penalty by Level:",0
"ensemble-001","Overall Mean Selectivity Penalty",0
"ensemble-001","Q dev penalty",0
"ensemble-001","Regional Recruitment Deviates Penalty Contribution",130.006385333
"ensemble-001","Regional Recruitment Distribution Penalty Contribution",0.187435457513
"ensemble-001","Reset Penalty Contribution",0.000219458
"ensemble-001","Seasonal Catchability Penalty Contribution",0
"ensemble-001","Selectivity Deviations Penalty",0
"ensemble-001","Selectivity Form Penalty (all Fisheries)",0.300842296242
"ensemble-001","Spline Selectivity Bound Penalty (all Fisheries)",0
"ensemble-001","Steepness prior",0.33161875468
"ensemble-001","Tagged Fish Reporting Rate Penalty Contribution",94.8193500022
"ensemble-001","Temporal Recruitment Deviates Curve Penalty Contribution",0
"ensemble-001","Temporal Recruitment Deviates Penalty Contribution",0
"ensemble-001","Temporal Recruitment Deviates Trend Penalty Contribution",0
"ensemble-001","Time Block Mean Selectivity Penalty",7.58830708492e-07
"ensemble-001","von Bertalanffy Deviates Penalty Contribution",0
"ensemble-001","Unclassified objective residual",69.3275491548848
"ensemble-002","Tag",7201.12654068414
"ensemble-002","Length frequency",80732.0282376478
"ensemble-002","Weight frequency",0
"ensemble-002","Age",3597.49479591516
"ensemble-002","CPUE",-1070.522181469
"ensemble-002","Catch",0
"ensemble-002","Average Regional Biomass Distribution Penalty Contribution",0
"ensemble-002","Average Regional Recruitment Distribution Penalty Contribution",4.29034514582e-08
"ensemble-002","Do Everything Calc Penalty Contribution",0.153467250576
"ensemble-002","Effort dev penalty",0
"ensemble-002","Implicit Fm Level Regression Coefficients Penalty Contribution",0
"ensemble-002","Implicit Fm Level Regression Penalty Contribution",0
"ensemble-002","Incident Selectivity Curvature Penalty",2.91778954667
"ensemble-002","Initial Population Age Composition Penalty Contribution",1.27935346581
"ensemble-002","Initial Population Recruitment Penalty Contribution",5.95651796993e-08
"ensemble-002","Kludged Equilibrium Survival Penalty Contribution",0
"ensemble-002","Maximum Age Lag Fishing Mortality Penalty (all Fisheries)",0
"ensemble-002","Maximum Fishing Mortality Penalty (all Fisheries)",0
"ensemble-002","Mean length penalty",0
"ensemble-002","Movement Diffusion Coefficients Penalty Contribution",0.0484714849971
"ensemble-002","Non Spline Selectivity Curvature Penalty (all Fisheries)",0
"ensemble-002","Normal Distribution Temporal Recruitment Deviates Penalty Contribution",0
"ensemble-002","Orthogonal Polynomial Recruitment Penalty by Level:",0
"ensemble-002","Overall Mean Selectivity Penalty",0
"ensemble-002","Q dev penalty",0
"ensemble-002","Regional Recruitment Deviates Penalty Contribution",152.850678648
"ensemble-002","Regional Recruitment Distribution Penalty Contribution",0.180339248635
"ensemble-002","Reset Penalty Contribution",0.000244632
"ensemble-002","Seasonal Catchability Penalty Contribution",0
"ensemble-002","Selectivity Deviations Penalty",0
"ensemble-002","Selectivity Form Penalty (all Fisheries)",0.426273182267
"ensemble-002","Spline Selectivity Bound Penalty (all Fisheries)",0
"ensemble-002","Steepness prior",0.373211784805
"ensemble-002","Tagged Fish Reporting Rate Penalty Contribution",89.8375121818
"ensemble-002","Temporal Recruitment Deviates Curve Penalty Contribution",0
"ensemble-002","Temporal Recruitment Deviates Penalty Contribution",0
"ensemble-002","Temporal Recruitment Deviates Trend Penalty Contribution",0
"ensemble-002","Time Block Mean Selectivity Penalty",9.58572570653e-07
"ensemble-002","von Bertalanffy Deviates Penalty Contribution",0
"ensemble-002","Unclassified objective residual",84.9555605820642
"ensemble-003","Tag",7601.00503189043
"ensemble-003","Length frequency",85347.9801433095
"ensemble-003","Weight frequency",0
"ensemble-003","Age",3526.53787867336
"ensemble-003","CPUE",-1054.1866960793
"ensemble-003","Catch",0
"ensemble-003","Average Regional Biomass Distribution Penalty Contribution",0
"ensemble-003","Average Regional Recruitment Distribution Penalty Contribution",7.46300088394e-09
"ensemble-003","Do Everything Calc Penalty Contribution",0.313289714745
"ensemble-003","Effort dev penalty",0
"ensemble-003","Implicit Fm Level Regression Coefficients Penalty Contribution",0
"ensemble-003","Implicit Fm Level Regression Penalty Contribution",0
"ensemble-003","Incident Selectivity Curvature Penalty",3.89437554208
"ensemble-003","Initial Population Age Composition Penalty Contribution",1.69930205318
"ensemble-003","Initial Population Recruitment Penalty Contribution",1.16283760124e-07
"ensemble-003","Kludged Equilibrium Survival Penalty Contribution",0
"ensemble-003","Maximum Age Lag Fishing Mortality Penalty (all Fisheries)",0
"ensemble-003","Maximum Fishing Mortality Penalty (all Fisheries)",0
"ensemble-003","Mean length penalty",0
"ensemble-003","Movement Diffusion Coefficients Penalty Contribution",0.054235397348
"ensemble-003","Non Spline Selectivity Curvature Penalty (all Fisheries)",0
"ensemble-003","Normal Distribution Temporal Recruitment Deviates Penalty Contribution",0
