ensemble_id,rr_group,requested_tag_reporting_flag2,effective_flag2_when_mixing_period_positive,effective_flag2_when_mixing_period_zero,tag_mixing_k_cutoff,zero_mixing_events,tag_reporting_zero_mixing_exclusions,maximum_gradient_component,retention_criterion,source_archive,archive_sha256,final_par_source_path,final_par_split_path,final_par_bytes,final_par_sha256,bet_ini_archive_member,bet_model_ini_archive_member,archived_bet_ini_model_ini_byte_identical,bet_ini_split_path,bet_ini_bytes,bet_ini_sha256,plot_rep_source_path,plot_rep_split_path,plot_rep_archive_member,plot_rep_bytes,plot_rep_lines,plot_rep_sha256
ensemble-031,exclusion,1,1,1,0.2,2,0,9.11508095562772e-05,public fit ledger maximum_gradient <= 1e-4,job-022530/output_archive.tar.gz,39fce0a549877f897caa567b29156e589eb60ec28967a356930d957ddef95366,final-par/ensemble-031/final.par,final-par-rr-exclusion-flag2-1/ensemble-031/final.par,2957121,cc351a733034bf6a583badfc7c2d1bae4c2047af405d325eb0dabf21164add8f,./outputs/models/ensemble-031/bet.ini,./outputs/models/ensemble-031/bet.model.ini,TRUE,final-par-rr-exclusion-flag2-1/ensemble-031/bet.ini,66811,6f14bf6c7d59e46200b68f8ee3b8481b819c9bfc12c1e50be5989cc989bacc9c,final-par/ensemble-031/plot-11.par.rep,final-par-rr-exclusion-flag2-1/ensemble-031/plot-11.par.rep,./outputs/models/ensemble-031/plot-11.par.rep,2845707,6349,16131b6a7a2e523e20359c880bf259d1a6677044875ccff39ecbe1ed55931bb5
ensemble-036,exclusion,1,1,1,0.2,2,0,9.60307034878377e-05,public fit ledger maximum_gradient <= 1e-4,job-022535/output_archive.tar.gz,d76f7d4ed0c4e412b70c600b51381d1218405ac0dad75e77d01b05ad27bc2aff,final-par/ensemble-036/final.par,final-par-rr-exclusion-flag2-1/ensemble-036/final.par,2957190,b39320e8e1fb6b29c53059d4975dd94bfd311c6509d3aa13c86e35accadcb3d3,./outputs/models/ensemble-036/bet.ini,./outputs/models/ensemble-036/bet.model.ini,TRUE,final-par-rr-exclusion-flag2-1/ensemble-036/bet.ini,66811,a316e2b5d6f44f8e9cb508ccbc55c9495a284582168dd0ee67550a0f050c7350,final-par/ensemble-036/plot-11.par.rep,final-par-rr-exclusion-flag2-1/ensemble-036/plot-11.par.rep,./outputs/models/ensemble-036/plot-11.par.rep,2851904,6349,39f7bc7859f4b1fbd4f900970195bb4fd04da801289f4f7e008f0e3e08b6e289
ensemble-038,exclusion,1,1,1,0.25,6,0,9.14521002644137e-05,public fit ledger maximum_gradient <= 1e-4,job-022537/output_archive.tar.gz,b67cffc4748ec123e855352547ce05fe602900f84f27d331899fb1894b844ab8,final-par/ensemble-038/final.par,final-par-rr-exclusion-flag2-1/ensemble-038/final.par,2957194,c97c7862331d5c58d981195a01285c5bd3a3a821fe3cd259a5ef39f031ecc25c,./outputs/models/ensemble-038/bet.ini,./outputs/models/ensemble-038/bet.model.ini,TRUE,final-par-rr-exclusion-flag2-1/ensemble-038/bet.ini,66811,75fc50a933090723ce7e795f7f17a6d4932a9c36940a91b7344cd71be9f67525,final-par/ensemble-038/plot-11.par.rep,final-par-rr-exclusion-flag2-1/ensemble-038/plot-11.par.rep,./outputs/models/ensemble-038/plot-11.par.rep,2844884,6349,3e2c63c8e5a805adfd801abd6c43741898e5d3f20aa9b673cc9a5174c83dbb6c
ensemble-039,exclusion,1,1,1,0.25,6,0,9.97282515925373e-05,public fit ledger maximum_gradient <= 1e-4,job-022538/output_archive.tar.gz,69b855da9bc012136bf22e7d1bc06f44e1df5b09048b283d357809abe69de451,final-par/ensemble-039/final.par,final-par-rr-exclusion-flag2-1/ensemble-039/final.par,2957183,24db2733182a8623bea59a4a0d85ca8aa4dc413748da3ce6118ec285419e7ed5,./outputs/models/ensemble-039/bet.ini,./outputs/models/ensemble-039/bet.model.ini,TRUE,final-par-rr-exclusion-flag2-1/ensemble-039/bet.ini,66811,05d36dc8752598022675395a67b7d85d6ac7a91f78771be4469da526964536fd,final-par/ensemble-039/plot-11.par.rep,final-par-rr-exclusion-flag2-1/ensemble-039/plot-11.par.rep,./outputs/models/ensemble-039/plot-11.par.rep,2849694,6349,ba3436e2a66cf974d0ca2a533b5ecdb28b00c4ae0c040116bbbcdee5e84a34aa
ensemble-041,exclusion,1,1,1,0.1,0,0,8.28334541560407e-05,public fit ledger maximum_gradient <= 1e-4,job-022540/output_archive.tar.gz,b9c9959cfb7f3b444054707ada872ddc7f12faf76c1e68b5fc5a2151d2d62d2e,final-par/ensemble-041/final.par,final-par-rr-exclusion-flag2-1/ensemble-041/final.par,2957197,b2fde84a85aadf0ed5bab5e36a8826f286156ed4f20897799298ac7e0b4a2d2a,./outputs/models/ensemble-041/bet.ini,./outputs/models/ensemble-041/bet.model.ini,TRUE,final-par-rr-exclusion-flag2-1/ensemble-041/bet.ini,66811,58d2889f733fc54d8453abe0ed2f0f4596f760b36ce1589f89151307fc86353f,final-par/ensemble-041/plot-11.par.rep,final-par-rr-exclusion-flag2-1/ensemble-041/plot-11.par.rep,./outputs/models/ensemble-041/plot-11.par.rep,2852061,6349,4ba3236ba5e17196d82229076753346d5282e1e42f75f7aa2975d673995497c6
ensemble-047,exclusion,1,1,1,0.1,0,0,9.04861023687408e-05,public fit ledger maximum_gradient <= 1e-4,job-022546/output_archive.tar.gz,18e1a81888e3694827a60854accab386311955cf20c71b511ccac082bad2ccfb,final-par/ensemble-047/final.par,final-par-rr-exclusion-flag2-1/ensemble-047/final.par,2957161,b849eb212fd8913d11e6cbd0589dac3c4093426464f2dd9dae25af8c2daa4d1a,./outputs/models/ensemble-047/bet.ini,./outputs/models/ensemble-047/bet.model.ini,TRUE,final-par-rr-exclusion-flag2-1/ensemble-047/bet.ini,66809,ef40394bb38c54464c61ed09207094c2ec69ff0ad549db8f9b84b28c1e734ecd,final-par/ensemble-047/plot-11.par.rep,final-par-rr-exclusion-flag2-1/ensemble-047/plot-11.par.rep,./outputs/models/ensemble-047/plot-11.par.rep,2849273,6349,f5b80ab23fe3176de4361b9ddeecdeb4095381bb0a4ac2abf72ee6debb33191b
ensemble-050,exclusion,1,1,1,0.2,2,0,9.15693555346354e-05,public fit ledger maximum_gradient <= 1e-4,job-022549/output_archive.tar.gz,fb0cedec86706f1f8dc7b872896b966ff88782fd41de0ca500d54484d1fbd095,final-par/ensemble-050/final.par,final-par-rr-exclusion-flag2-1/ensemble-050/final.par,2957155,1f8addcd41811709028c134850e5c6d64769d76d7da2ca9e83dabe6d452389dc,./outputs/models/ensemble-050/bet.ini,./outputs/models/ensemble-050/bet.model.ini,TRUE,final-par-rr-exclusion-flag2-1/ensemble-050/bet.ini,66811,7ac1445f4c820b44ca05cb40e59e12cac6dd0da0c67d9ae6e267fda7e5af3703,final-par/ensemble-050/plot-11.par.rep,final-par-rr-exclusion-flag2-1/ensemble-050/plot-11.par.rep,./outputs/models/ensemble-050/plot-11.par.rep,2849876,6349,3282c0d4b852c2f259ce2a394ed78885aa649ff1d49060057a1bf967e27cac5d
ensemble-051,exclusion,1,1,1,0.2,2,0,8.94541125010828e-05,public fit ledger maximum_gradient <= 1e-4,job-022550/output_archive.tar.gz,45fb93a76de50272f4ca9b4078d51a352d53d71dd3e6d93df1d96dc2390c1453,final-par/ensemble-051/final.par,final-par-rr-exclusion-flag2-1/ensemble-051/final.par,2957177,cf7dd186a12eaa64ff3f821911fcfb5287ff636ca14362a3c4e18733ab1b6eac,./outputs/models/ensemble-051/bet.ini,./outputs/models/ensemble-051/bet.model.ini,TRUE,final-par-rr-exclusion-flag2-1/ensemble-051/bet.ini,66811,6821f412ca4001b5d934796f1f0ddc2c86e0778beedb521fb103f6415c82b2a5,final-par/ensemble-051/plot-11.par.rep,final-par-rr-exclusion-flag2-1/ensemble-051/plot-11.par.rep,./outputs/models/ensemble-051/plot-11.par.rep,2853134,6349,48ac3f7a2d4927a97599e01bd907bc0de238ea7a3b5d2eb3a79ce5b08d36762f
ensemble-053,exclusion,1,1,1,0.15,1,0,9.44201894158258e-05,public fit ledger maximum_gradient <= 1e-4,job-022552/output_archive.tar.gz,c4c1f1b4e85b691d7858a0e47d1b740acb36878a9f5f92ffe680a17155f05cb4,final-par/ensemble-053/final.par,final-par-rr-exclusion-flag2-1/ensemble-053/final.par,2957139,b2051b504690d3b854a4f08b989c088c8e91492ce8c65c811acd58c8064e14c7,./outputs/models/ensemble-053/bet.ini,./outputs/models/ensemble-053/bet.model.ini,TRUE,final-par-rr-exclusion-flag2-1/ensemble-053/bet.ini,66811,629bc3b83a91a8ba0da15df9deb9346495d67109fe539cf93fd12ef0663289a7,final-par/ensemble-053/plot-11.par.rep,final-par-rr-exclusion-flag2-1/ensemble-053/plot-11.par.rep,./outputs/models/ensemble-053/plot-11.par.rep,2853459,6349,aba7d421852395c849a8ef4f47899659c0bc1e9a564662acb43f67605582568a
ensemble-054,exclusion,1,1,1,0.15,1,0,9.82845716671051e-05,public fit ledger maximum_gradient <= 1e-4,job-022553/output_archive.tar.gz,72ebd743b006348375a302b4566f360ba4b0f9a37316be54fe03176e3df1812c,final-par/ensemble-054/final.par,final-par-rr-exclusion-flag2-1/ensemble-054/final.par,2957153,4ae91bf5a4121d98ab951229a48166a11010d6111d90713ea5779dd69bb2a670,./outputs/models/ensemble-054/bet.ini,./outputs/models/ensemble-054/bet.model.ini,TRUE,final-par-rr-exclusion-flag2-1/ensemble-054/bet.ini,66809,552e4d08ac3bf7948009462699c28fb9186479b6372df6540754a2ffc0eaac6b,final-par/ensemble-054/plot-11.par.rep,final-par-rr-exclusion-flag2-1/ensemble-054/plot-11.par.rep,./outputs/models/ensemble-054/plot-11.par.rep,2852637,6349,b0a95ae6b299b10e3219366635590388fba1e7d4e057310579038df40ee43184
