"ensemble_id","cache_key","terminal_year","first_projection_year","last_projection_year","simulations","recruitment_seed","recruitment_sampling_start","recruitment_sampling_end","recent_catch_years","catch_conditioned_fisheries","tau","mixed_unit_audit_sum","catch_conditioning"
"ensemble-001","db9cbb5fb2e1238be62299360eff9c8990976e19e0a56b6a65ed37166f8b2834",2024,2025,2054,10,20260807,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-002","078627e548c7f1ce2e2c429bc79ec7390e699cfd6a82de638c0da817bbb5af50",2024,2025,2054,10,20260808,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-003","244466c512e63a5b6c14b7237b7df99f01d3d42a30fe7f1e0e4237e0ebf9e58b",2024,2025,2054,10,20260809,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-004","1c4c0e0b18c47c94a1d77ce54820e29fd9f3e0bb03a72d959848b2f7a3fb1119",2024,2025,2054,10,20260810,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-005","26c8f076724e5319d5490ae46b15323b179c683e98e0ca76c1389e2a32d5531b",2024,2025,2054,10,20260811,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-006","55763aa1852a976d135f136d64e4d9ce8deeca5b2e8a82fdd51da344d27a7bf2",2024,2025,2054,10,20260812,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-007","6a95a787d4a0f630404a17edccca7a35ba0825e5af28d9a87996d4528c39d998",2024,2025,2054,10,20260813,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-008","ab00b2f7a0c9ae3ddf112837d388ca4c42efc4b620ee5906ff3159ee2667a01b",2024,2025,2054,10,20260814,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-009","5d479e8d6c4a3ab3d7da313c792afea9e2b31f352442f5fdcf2d036f5d5c6f9a",2024,2025,2054,10,20260815,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-010","ecee6d56b5dd809ec86061f934e0fa90121defd741d3234e65db82ba2c611b05",2024,2025,2054,10,20260816,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
