"fishery","fishery_name","region","caeff","conditioning","mean_annual_catch","catch_unit"
1,"01.LL.WEST.1",1,1,"catch",154179.666666667,"number"
2,"02.LL.EAST.1",1,1,"catch",55809.3333333333,"number"
3,"03.LL.US.1",1,1,"catch",133679.666666667,"number"
4,"04.LL.ALL.2",2,1,"catch",29070.6666666667,"number"
5,"05.LL.OS.2",2,1,"catch",70626.3333333333,"number"
6,"06.LL.ARCH.3",3,1,"catch",24575,"number"
7,"07.LL.WEST.3",3,1,"catch",84830.6666666667,"number"
8,"08.LL.EAST.3",4,1,"catch",18679,"number"
9,"09.LL.OS.3",3,1,"catch",0,"number"
10,"10.LL.ALL.5",5,1,"catch",118391.666666667,"number"
11,"11.LL.AU.5",5,1,"catch",2578,"number"
12,"12.PS.JP.1",1,1,"catch",1014.47466666667,"weight"
13,"13.PL.JP.1",1,1,"catch",2105.70533333333,"weight"
14,"14.HL.ID.2",2,1,"catch",5190,"weight"
15,"15.HL.PH.2",2,1,"catch",200,"weight"
16,"16.PL.ALL.2",2,1,"catch",588.792333333333,"weight"
17,"17.PS.ID.2",2,1,"catch",410.847666666667,"weight"
18,"18.PS.PH.2",2,1,"catch",58.3223333333333,"weight"
19,"19.PS.ASS.2",2,1,"catch",11.1656666666667,"weight"
20,"20.PS.UNA.2",2,1,"catch",401.106666666667,"weight"
21,"21.DOM.ID.2",2,1,"catch",24061.912,"weight"
22,"22.DOM.PH.2",2,1,"catch",121.457,"weight"
23,"23.DOM.VN.2",2,1,"catch",471.369,"weight"
24,"24.PL.ALL.WEST.3",3,1,"catch",0.233333333333333,"weight"
25,"25.PS.ASS.WEST.3",3,1,"catch",15102.5723333333,"weight"
26,"26.PS.ASS.EAST.3",4,1,"catch",4848.35666666667,"weight"
27,"27.PS.UNA.WEST.3",3,1,"catch",4455.62933333333,"weight"
28,"28.PS.UNA.EAST.3",4,1,"catch",11.1176666666667,"weight"
29,"29.Index R1",1,1,"catch",4,"number"
30,"30.Index R2",2,1,"catch",4,"number"
31,"31.Index R3",3,1,"catch",4,"number"
32,"32.Index R4",4,1,"catch",4,"number"
33,"33.Index R5",5,1,"catch",4,"number"
