"Year","SBrecent/SBF=0 10%","SBrecent/SBF=0 median","SBrecent/SBF=0 90%","Simulation frequency below LRP","Spawning potential median (10^3 MT)","Catch/MSY 10%","Catch/MSY median","Catch/MSY 90%"
2030,"0.214","0.324","0.510","7.1%","472.5","0.663","0.905","1.054"
2040,"0.399","0.486","0.611","0.0%","625.8","0.661","0.953","1.090"
2054,"0.440","0.522","0.619","0.0%","644.3","0.669","0.958","1.091"
