"Quantity","Aggregation","Models","Value"
"Mean annual spawning depletion, 2021–2024","Arithmetic mean across 34 central models",34,0.257822915208676
"Mean annual spawning depletion, 2012–2015","Arithmetic mean across 34 central models",34,0.265900492318231
"Recent-to-2012–2015 spawning depletion ratio","Ratio of the preceding two arithmetic means",34,0.969621804611448
