"Group","Quantity","Period","Models","10%","Median","Mean","90%"
"Combined (RR=0 + RR=1)","SBrecent / SBF=0","2021–2024 / 2014–2023",80,0.174554102006625,0.278343268806794,0.279676728983758,0.383912801714596
"Combined (RR=0 + RR=1)","SBrecent / SBMSY","2021–2024 / equilibrium SBMSY",80,0.997431408802551,1.50722590514988,1.58091540357381,2.23649026363338
"Combined (RR=0 + RR=1)","Frecent / FMSY","2020–2023 / equilibrium FMSY",80,0.594389269961902,0.838575750287964,0.860170551716451,1.19468991873444
"RR=0: inclusion","SBrecent / SBF=0","2021–2024 / 2014–2023",34,0.162235958646145,0.255477385245047,0.258876689853752,0.357872777520321
"RR=0: inclusion","SBrecent / SBMSY","2021–2024 / equilibrium SBMSY",34,0.910908436278479,1.41813458565866,1.51676378410039,2.41709101404542
"RR=0: inclusion","Frecent / FMSY","2020–2023 / equilibrium FMSY",34,0.552668277107608,0.915331999504003,0.909478500233205,1.25948321653601
"RR=1: exclusion","SBrecent / SBF=0","2021–2024 / 2014–2023",46,0.188344258226884,0.290895695269712,0.295050670949415,0.412027504150508
"RR=1: exclusion","SBrecent / SBMSY","2021–2024 / equilibrium SBMSY",46,1.05619729518594,1.64346440087554,1.6283318179672,2.18607940738521
"RR=1: exclusion","Frecent / FMSY","2020–2023 / equilibrium FMSY",46,0.616363784173525,0.783392207932483,0.823725546291024,1.08895516888902
