"Model","Objective function","MGC","Positive-definite Hessian"
"ensemble-001","98,233.0","9.61e-05","No"
"ensemble-004","100,392.0","5.46e-05","Yes"
"ensemble-005","90,039.9","6.90e-05","No"
"ensemble-006","94,143.3","8.38e-05","Yes"
"ensemble-007","90,079.1","9.93e-05","No"
"ensemble-012","89,811.4","9.20e-05","Yes"
"ensemble-017","89,958.3","9.22e-05","Yes"
"ensemble-020","89,928.2","9.09e-05","Yes"
"ensemble-021","90,044.7","9.26e-05","Yes"
"ensemble-022","89,853.1","9.62e-05","No"
"ensemble-025","88,935.7","7.67e-05","Yes"
"ensemble-026","90,472.6","7.34e-05","Yes"
"ensemble-027","100,501.7","5.98e-05","Yes"
"ensemble-028","89,621.7","9.78e-05","Yes"
"ensemble-032","94,527.6","9.97e-05","Yes"
"ensemble-034","89,359.1","9.39e-05","No"
"ensemble-035","90,710.2","9.08e-05","No"
"ensemble-036","93,282.3","9.30e-05","No"
"ensemble-037","90,083.9","9.95e-05","No"
"ensemble-038","89,322.4","8.47e-05","Yes"
"ensemble-040","90,317.0","8.42e-05","Yes"
"ensemble-043","90,810.5","8.73e-05","Yes"
"ensemble-049","89,387.6","9.69e-05","No"
"ensemble-050","89,206.3","5.94e-05","Yes"
"ensemble-051","90,487.5","9.18e-05","Yes"
"ensemble-056","89,623.3","6.78e-05","Yes"
"ensemble-059","89,738.8","9.41e-05","Yes"
"ensemble-062","93,534.2","9.98e-05","Yes"
"ensemble-064","89,824.0","9.18e-05","Yes"
"ensemble-069","88,897.8","9.05e-05","Yes"
"ensemble-072","94,590.4","8.64e-05","Yes"
"ensemble-075","92,991.6","9.56e-05","Yes"
"ensemble-077","90,341.2","8.84e-05","Yes"
"ensemble-078","89,697.6","6.97e-05","Yes"
