"Group","Year","Depletion_q10","Depletion_median","Depletion_q90","Probability_below_LRP","Spawning_q10_kt","Spawning_median_kt","Spawning_q90_kt","Catch_MSY_q10","Catch_MSY_median","Catch_MSY_q90"
"Combined (RR=0 + RR=1)",2030,0.225032176954632,0.355399972066591,0.514235879858039,0.0525,391.65542,523.095,1305.7805,0.638437644619947,0.811098035790311,1.00321824373314
"Combined (RR=0 + RR=1)",2040,0.408764371694753,0.517167636080995,0.627919802558028,0,502.2271,690.4925,1674.4645,0.641554547086146,0.841936947202728,1.05162636582972
"Combined (RR=0 + RR=1)",2054,0.454834290158667,0.544813505401779,0.640961330030094,0,516.957425,720.615,1694.84625,0.64755278475204,0.847144874892446,1.05312521420703
"RR=0: inclusion",2030,0.213994102571931,0.323716706301101,0.509572378590597,0.0705882352941176,378.499775,472.52775,1098.33925,0.662906747277436,0.904583924818351,1.05405696454192
"RR=0: inclusion",2040,0.399456101629213,0.485568730726994,0.611256466641487,0,495.10805,625.76125,1360.6865,0.660853747855739,0.952590415479097,1.09023698541632
"RR=0: inclusion",2054,0.440073296540224,0.521828711502266,0.618658487815022,0,508.115675,644.31125,1445.6985,0.669161183099912,0.957963498985039,1.09083880129004
"RR=1: exclusion",2030,0.232116013987611,0.386698874274599,0.514511125105908,0.0391304347826087,399.977425,610.63025,1582.9325,0.638018778389234,0.751315058289008,0.909609120479118
"RR=1: exclusion",2040,0.417040157875285,0.537829749744851,0.629317986661911,0,523.18095,798.0844043,1885.9475,0.638546516919504,0.767048223714947,0.944338956104266
"RR=1: exclusion",2054,0.471514794096725,0.562397580188274,0.647464389999825,0,526.14175,829.61375,1999.83425,0.639672029364832,0.769313207073272,0.960397038460655
