"Quantity","10%","Median","90%","Criterion","Beyond criterion"
"SB2051–2054 / SBMSY","1.987","2.637","3.697","SB2051–2054/SBMSY < 1","0.0%"
"F2050–2053 / FMSY","0.303","0.452","0.684","F2050–2053/FMSY > 1","3.3%"
