"Quantity","Period","Median","50% interval","80% interval","95% interval"
"SBrecent / SBF=0","2021–2024 / 2014–2023","0.294","0.247–0.348","0.183–0.418","0.138–0.440"
"SBrecent / SBMSY","2021–2024 / equilibrium SBMSY","1.655","1.197–2.140","0.876–2.566","0.618–3.470"
"Frecent / FMSY","2020–2023 / equilibrium FMSY","0.784","0.666–0.932","0.616–1.099","0.506–1.348"
