"Quantity","Aggregation","Models","Value"
"Mean annual spawning depletion, 2021–2024","Arithmetic mean across 46 central models",46,0.293456409450683
"Mean annual spawning depletion, 2012–2015","Arithmetic mean across 46 central models",46,0.303945478305489
"Recent-to-2012–2015 spawning depletion ratio","Ratio of the preceding two arithmetic means",46,0.965490294794698
