"Quantity","Period","Median","50% interval","80% interval","95% interval"
"SBrecent / SBF=0","2021–2024 / 2014–2023","0.254","0.203–0.297","0.159–0.363","0.126–0.489"
"SBrecent / SBMSY","2021–2024 / equilibrium SBMSY","1.406","1.081–1.848","0.815–2.601","0.652–3.604"
"Frecent / FMSY","2020–2023 / equilibrium FMSY","0.916","0.811–1.025","0.532–1.280","0.343–1.440"
