"Quantity","10%","Median","90%","Criterion","Beyond criterion"
"SB2051–2054 / SBMSY","1.895","2.524","4.277","SB2051–2054/SBMSY < 1","0.0%"
"F2050–2053 / FMSY","0.342","0.607","0.889","F2050–2053/FMSY > 1","6.2%"
