"Group","Quantity","Period","Median","50% interval","80% interval","95% interval"
"Combined (RR=0 + RR=1)","SBrecent / SBF=0","2021–2024 / 2014–2023","0.277","0.217–0.336","0.172–0.395","0.136–0.442"
"Combined (RR=0 + RR=1)","SBrecent / SBMSY","2021–2024 / equilibrium SBMSY","1.532","1.136–2.024","0.822–2.572","0.635–3.519"
"Combined (RR=0 + RR=1)","Frecent / FMSY","2020–2023 / equilibrium FMSY","0.838","0.702–0.983","0.592–1.206","0.460–1.351"
"RR=0: inclusion","SBrecent / SBF=0","2021–2024 / 2014–2023","0.254","0.203–0.297","0.159–0.363","0.126–0.489"
"RR=0: inclusion","SBrecent / SBMSY","2021–2024 / equilibrium SBMSY","1.406","1.081–1.848","0.815–2.601","0.652–3.604"
"RR=0: inclusion","Frecent / FMSY","2020–2023 / equilibrium FMSY","0.916","0.811–1.025","0.532–1.280","0.343–1.440"
"RR=1: exclusion","SBrecent / SBF=0","2021–2024 / 2014–2023","0.294","0.247–0.348","0.183–0.418","0.138–0.440"
"RR=1: exclusion","SBrecent / SBMSY","2021–2024 / equilibrium SBMSY","1.655","1.197–2.140","0.876–2.566","0.618–3.470"
"RR=1: exclusion","Frecent / FMSY","2020–2023 / equilibrium FMSY","0.784","0.666–0.932","0.616–1.099","0.506–1.348"
