"ensemble_id","source_ensemble_id","objective_function","maximum_gradient","hessian_status","positive_definite_hessian","hessian_reliability","negative_eigenvalues","nonpositive_eigenvalues","smallest_eigenvalue","dominant_uncertainty_block","tau","mgc_pass","hessian_qc","ensemble_inclusion"
"ensemble-001","ensemble-001",98233.0285195284,9.61238413505548e-05,"Near-PDH",FALSE,"MODERATE",2,2,-6.77109,"Recruitment",1.3,TRUE,"Near-PDH","Included"
"ensemble-004","ensemble-005",100392.003293609,5.46278257900106e-05,"PDH",TRUE,"HIGH",0,0,2.02726e-07,NA,1.2,TRUE,"PDH","Included"
"ensemble-005","ensemble-006",90039.8841194403,6.90218697200069e-05,"Near-PDH",FALSE,"MODERATE",1,1,-0.0541559,"Recruitment",1.2,TRUE,"Near-PDH","Included"
"ensemble-006","ensemble-007",94143.2565242791,8.37527730061043e-05,"PDH",TRUE,"HIGH",0,0,2.09747e-08,NA,1.4,TRUE,"PDH","Included"
"ensemble-007","ensemble-008",90079.099668897,9.92659455831802e-05,"Near-PDH",FALSE,"MODERATE",1,1,-0.796826304230405,"Recruitment",1.4,TRUE,"Near-PDH","Included"
"ensemble-012","ensemble-014",89811.369854319,9.20035581609109e-05,"PDH",TRUE,"HIGH",0,0,8.44349e-08,NA,1.2,TRUE,"PDH","Included"
"ensemble-017","ensemble-022",89958.3472448323,9.21642756766876e-05,"PDH",TRUE,"HIGH",0,0,1.16911e-07,NA,1.3,TRUE,"PDH","Included"
"ensemble-020","ensemble-025",89928.2489958922,9.08639946086583e-05,"PDH",TRUE,"HIGH",0,0,2.03584e-07,NA,1.2,TRUE,"PDH","Included"
"ensemble-021","ensemble-027",90044.7116140645,9.25754150158406e-05,"PDH",TRUE,"HIGH",0,0,5.97079e-07,NA,1.4,TRUE,"PDH","Included"
"ensemble-022","ensemble-029",89853.1469353827,9.61844017289685e-05,"Near-PDH",FALSE,"MODERATE",1,1,-0.000198501045729774,"Recruitment",1.4,TRUE,"Near-PDH","Included"
"ensemble-025","ensemble-032",88935.7220123762,7.67099632872541e-05,"PDH",TRUE,"HIGH",0,0,1.04605e-07,NA,1.4,TRUE,"PDH","Included"
"ensemble-026","ensemble-033",90472.61689135,7.33740515780615e-05,"PDH",TRUE,"HIGH",0,0,2.22295e-07,NA,1.4,TRUE,"PDH","Included"
"ensemble-027","ensemble-034",100501.700085686,5.97639820182288e-05,"PDH",TRUE,"HIGH",0,0,1.19582e-07,NA,1.3,TRUE,"PDH","Included"
"ensemble-028","ensemble-035",89621.6673406241,9.78312271498671e-05,"PDH",TRUE,"HIGH",0,0,9.96478e-08,NA,1.3,TRUE,"PDH","Included"
"ensemble-032","ensemble-040",94527.5868221525,9.97022791262713e-05,"PDH",TRUE,"HIGH",0,0,1.76069e-07,NA,1.3,TRUE,"PDH","Included"
"ensemble-034","ensemble-042",89359.0839949587,9.38825263259918e-05,"Near-PDH",FALSE,"MODERATE",1,1,-3.1476e-06,"Recruitment",1.2,TRUE,"Near-PDH","Included"
"ensemble-035","ensemble-043",90710.2065136877,9.07956807652389e-05,"Near-PDH",FALSE,"MODERATE",2,2,-0.0406873254290174,"Recruitment",1.4,TRUE,"Near-PDH","Included"
"ensemble-036","ensemble-044",93282.2674052496,9.29595364811947e-05,"Near-PDH",FALSE,"MODERATE",1,1,-0.355570360587747,"Recruitment",1.4,TRUE,"Near-PDH","Included"
"ensemble-037","ensemble-045",90083.8977725884,9.94671952413932e-05,"Near-PDH",FALSE,"MODERATE",1,1,-2.43528e-06,"Recruitment",1.3,TRUE,"Near-PDH","Included"
"ensemble-038","ensemble-046",89322.4150463186,8.47119675689936e-05,"PDH",TRUE,"HIGH",0,0,1.57723e-07,NA,1.4,TRUE,"PDH","Included"
"ensemble-040","ensemble-049",90316.9948461277,8.42124565130524e-05,"PDH",TRUE,"HIGH",0,0,2.77493e-07,NA,1.3,TRUE,"PDH","Included"
"ensemble-043","ensemble-052",90810.4540165662,8.73075569047253e-05,"PDH",TRUE,"HIGH",0,0,1.54691e-07,NA,1.2,TRUE,"PDH","Included"
"ensemble-049","ensemble-062",89387.5543377928,9.68912096726196e-05,"Near-PDH",FALSE,"MODERATE",1,1,-1.03341e-06,"Recruitment",1.3,TRUE,"Near-PDH","Included"
"ensemble-050","ensemble-063",89206.2503809006,5.93553076728006e-05,"PDH",TRUE,"HIGH",0,0,1.2221e-07,NA,1.3,TRUE,"PDH","Included"
"ensemble-051","ensemble-065",90487.5214835783,9.17770284390758e-05,"PDH",TRUE,"HIGH",0,0,2.31751e-07,NA,1.4,TRUE,"PDH","Included"
"ensemble-056","ensemble-071",89623.3074349361,6.77863002124657e-05,"PDH",TRUE,"HIGH",0,0,2.00337e-07,NA,1.2,TRUE,"PDH","Included"
"ensemble-059","ensemble-074",89738.8412087527,9.4139800001581e-05,"PDH",TRUE,"HIGH",0,0,1.53687e-07,NA,1.3,TRUE,"PDH","Included"
"ensemble-062","ensemble-078",93534.1694015551,9.98011887170647e-05,"PDH",TRUE,"HIGH",0,0,1.51724e-07,NA,1.2,TRUE,"PDH","Included"
"ensemble-064","ensemble-080",89824.0322836929,9.18081938210401e-05,"PDH",TRUE,"HIGH",0,0,1.13705e-07,NA,1.2,TRUE,"PDH","Included"
"ensemble-069","ensemble-086",88897.7955277088,9.04712669578351e-05,"PDH",TRUE,"HIGH",0,0,3.10447e-07,NA,1.3,TRUE,"PDH","Included"
"ensemble-072","ensemble-089",94590.3533604105,8.63901131261884e-05,"PDH",TRUE,"HIGH",0,0,2.41197e-07,NA,1.3,TRUE,"PDH","Included"
