"Group","Domain","Metric","Statistic","Value","Combined_value","Difference","Relative_difference"
"RR=0: inclusion","Projection selected years","2040","Depletion_median",0.485568730726994,0.517167636080995,-0.0315989053540008,-0.0610999280493492
"RR=0: inclusion","Projection selected years","2040","Probability_below_LRP",0,0,0,NA
"RR=0: inclusion","Projection selected years","2040","Spawning_median_kt",625.76125,690.4925,-64.73125,-0.0937464925397452
"RR=0: inclusion","Projection selected years","2040","Catch_MSY_median",0.952590415479097,0.841936947202728,0.110653468276368,0.131427262628164
"RR=0: inclusion","Projection selected years","2054","Depletion_median",0.521828711502266,0.544813505401779,-0.0229847938995125,-0.0421883702801422
"RR=0: inclusion","Projection selected years","2054","Probability_below_LRP",0,0,0,NA
"RR=0: inclusion","Projection selected years","2054","Spawning_median_kt",644.31125,720.615,-76.30375,-0.105886985422174
"RR=0: inclusion","Projection selected years","2054","Catch_MSY_median",0.957963498985039,0.847144874892446,0.110818624092593,0.13081425311894
"RR=1: exclusion","Projection selected years","2030","Depletion_median",0.386698874274599,0.355399972066591,0.031298902208008,0.0880666985594009
"RR=1: exclusion","Projection selected years","2030","Probability_below_LRP",0.0391304347826087,0.0525,-0.0133695652173913,-0.254658385093168
"RR=1: exclusion","Projection selected years","2030","Spawning_median_kt",610.63025,523.095,87.5352499999999,0.167341018361865
"RR=1: exclusion","Projection selected years","2030","Catch_MSY_median",0.751315058289008,0.811098035790311,-0.0597829775013035,-0.0737062289184964
"RR=1: exclusion","Projection selected years","2040","Depletion_median",0.537829749744851,0.517167636080995,0.0206621136638558,0.0399524491138496
"RR=1: exclusion","Projection selected years","2040","Probability_below_LRP",0,0,0,NA
"RR=1: exclusion","Projection selected years","2040","Spawning_median_kt",798.0844043,690.4925,107.5919043,0.155819077397654
"RR=1: exclusion","Projection selected years","2040","Catch_MSY_median",0.767048223714947,0.841936947202728,-0.0748887234877815,-0.0889481376682584
"RR=1: exclusion","Projection selected years","2054","Depletion_median",0.562397580188274,0.544813505401779,0.0175840747864956,0.0322754017882285
"RR=1: exclusion","Projection selected years","2054","Probability_below_LRP",0,0,0,NA
"RR=1: exclusion","Projection selected years","2054","Spawning_median_kt",829.61375,720.615,108.99875,0.151257953276021
"RR=1: exclusion","Projection selected years","2054","Catch_MSY_median",0.769313207073272,0.847144874892446,-0.0778316678191739,-0.0918752743786067
