"Quantity","Period","Unit","Minimum","10%","Median","Mean","90%","Maximum"
"F multiplier at MSY","2020–2023","multiplier",0.694500000000001,0.794979999999998,1.0925,1.20943823529412,1.8134,3.026
"Frecent / FMSY","2020–2023","ratio",0.330469266358229,0.552668277107608,0.915331999504003,0.909478500233205,1.25948321653601,1.43988480921526
"SBF=0","2014–2023 mean","thousand MT",875.262,919.54725,1385.181075,1687.66396029412,2872.814675,3697.1905
"SBlatest / SBF=0","2024 / 2014–2023","ratio",0.112762457988726,0.137469992718785,0.218240724436,0.227058298535839,0.315772850747256,0.427760687477387
"SBlatest / SBMSY","2024 / equilibrium SBMSY","ratio",0.65695,0.778475,1.22475,1.32730367647059,2.098225,2.477
"SBrecent / SBF=0","2021–2024 / 2014–2023","ratio",0.126475943243433,0.162235958646145,0.255477385245047,0.258876689853752,0.357872777520321,0.502502464457177
"SBrecent / SBMSY","2021–2024 / equilibrium SBMSY","ratio",0.736775825346113,0.910908436278479,1.41813458565866,1.51676378410039,2.41709101404542,2.8819338365897
"SBMSY","Equilibrium","thousand MT",112.6,152.32,235.249999999999,306.214705882353,563.910000000001,853.099999999998
"SBMSY / SBF=0","Equilibrium / 2014–2023","ratio",0.128277096756646,0.152920023271447,0.172256497504434,0.173695614546547,0.194986037797133,0.239163541563215
