"year","depletion","sb_sbmsy","f_fmsy"
1952,0.992718785649431,4.8985,0.080745
1953,0.970127209310252,4.9045,0.0749325
1954,0.95650726335956,4.92275,0.0508125
1955,0.945397444743166,4.94475,0.08073
1956,0.930928381389111,4.944,0.0889325
1957,0.917530865047377,5.10375,0.119245
1958,0.8934497622691,5.008,0.176625
1959,0.862154700592518,4.60075,0.1629375
1960,0.837247211337865,4.1645,0.163175
1961,0.825592877600478,4.018,0.162375
1962,0.813186881226433,3.77175,0.15735
1963,0.801829156601062,3.562,0.20205
1964,0.787853216919479,3.32475,0.15042
1965,0.792429781000033,3.2415,0.140075
1966,0.797690797610089,3.217,0.1585
1967,0.792873385203486,3.0875,0.1726
1968,0.789533861263289,2.948,0.1416
1969,0.7935836237068,2.9585,0.1777
1970,0.789019425503866,2.859,0.1698
1971,0.785610476939345,2.77375,0.1726
1972,0.781162160919167,2.76425,0.2386
1973,0.760694082145569,2.599,0.202725
1974,0.747739813088462,2.461,0.2274
1975,0.733578194986007,2.3735,0.291125
1976,0.707299877956822,2.23575,0.308125
1977,0.686876460367863,2.195,0.342275
1978,0.678178441872517,2.255,0.287175
1979,0.660691370919609,2.204,0.37215
1980,0.634473224135001,2.10875,0.3792
1981,0.610977156975227,1.92675,0.360725
1982,0.59841792558553,1.83025,0.417225
1983,0.590015830777002,1.834,0.409625
1984,0.585393393772353,1.954,0.4428
1985,0.56475083385268,2.02125,0.462125
1986,0.539102818268137,1.97825,0.42395
1987,0.522464493958485,1.98225,0.540525
1988,0.502368194477179,1.99975,0.468275
1989,0.488016118931065,1.9915,0.45785
1990,0.481915058895096,2.10825,0.559475
1991,0.471830942009709,2.17325,0.51675
1992,0.454686373029701,2.14875,0.650775
1993,0.426557061408742,2.01925,0.581225
1994,0.403507598373932,1.94625,0.6736
1995,0.377615517890182,1.84425,0.602375
1996,0.36924345328469,1.7855,0.56095
1997,0.384320352767339,1.89725,0.705475
1998,0.368505791038453,1.865,0.840075
1999,0.343750185873606,1.77025,0.9218
2000,0.312775730728972,1.6275,0.90635
2001,0.289565063352168,1.5175,0.777425
2002,0.275380038599197,1.48325,0.967525
2003,0.259960987497568,1.45825,0.87795
2004,0.250962382487151,1.43425,1.2285
2005,0.228864776357293,1.3085,0.991725
2006,0.22273458329106,1.28175,1.057575
2007,0.217198268901065,1.27475,1.082
2008,0.208522707861897,1.227,1.16425
2009,0.196563529658283,1.14025,1.18975
2010,0.182814277552845,1.05675,0.982375
2011,0.181754736935161,1.06275,1.217675
2012,0.176271639509127,1.03525,1.25165
2013,0.16830879899882,0.970725,1.1378
2014,0.171424568159078,0.99555,1.22515
2015,0.177121215248395,1.06775,1.113475
2016,0.17808569525043,1.09525,1.164825
2017,0.175712976270673,1.066,0.985025
2018,0.175932033998965,1.055,1.139625
2019,0.17520573345278,1.0465,1.01025
2020,0.178712793939755,1.062,1.066625
2021,0.185328213124598,1.084,1.052675
2022,0.188611504374898,1.08925,1.142175
2023,0.183232559519269,1.03475,1.25175
2024,0.161670357810229,0.894475,1.4385
