"Steepness quartile","Mean h","D 2025","D 2030","D 2040","D 2054","Mean Frecent(2050–2053)/FMSY"
"Q1 (0.669–0.833)","0.785","0.268","0.353","0.499","0.542","0.773"
"Q2 (0.833–0.876)","0.856","0.236","0.328","0.496","0.533","0.553"
"Q3 (0.876–0.917)","0.896","0.264","0.376","0.529","0.554","0.524"
"Q4 (0.917–0.980)","0.943","0.291","0.408","0.555","0.567","0.487"
