"Quantity","10%","Median","90%","Criterion","Beyond criterion"
"Mean SB2051–2054 / SBMSY","1.893","2.546","3.752","Mean SB2051–2054/SBMSY < 1","0.0%"
"Frecent(2050–2053) / FMSY","0.312","0.513","0.848","Frecent(2050–2053)/FMSY > 1","5.2%"
