"Quantity","Period","Unit","Minimum","10%","Median","Mean","90%","Maximum"
"F multiplier at MSY","2020–2023 F pattern","multiplier",0.663899999999999,0.77157,1.167,1.21128636363636,1.6484,3.026
"Frecent / FMSY","2020–2023 F pattern","ratio",0.330469266358229,0.60675566914133,0.856898658333137,0.900697264149236,1.29606638725648,1.50625094140684
"SBF=0","2014–2023 mean","thousand MT",874.65275,986.310625,1709.887875,1864.94700454545,3156.8202,3990.865
"SBlatest / SBF=0","2024 / 2014–2023","ratio",0.105572522727416,0.130006612061562,0.237108895509017,0.238202544236591,0.348627847928852,0.427760687477387
"SBlatest / SBMSY","2024 / equilibrium SBMSY","ratio",0.586325,0.7242325,1.324125,1.34210340909091,1.974075,2.477
"SBrecent / SBF=0","2021–2024 / 2014–2023","ratio",0.121192004043752,0.149821780620251,0.265136670106952,0.269211069075672,0.381285449840708,0.502502464457177
"SBrecent / SBMSY","2021–2024 / equilibrium SBMSY","ratio",0.673065757537046,0.85008961845105,1.47845348927193,1.52107723926689,2.21667022423484,2.8819338365897
"SBMSY","Equilibrium","thousand MT",112.6,154.91,306.7,347.138636363636,653.34,1019
"SBMSY / SBF=0","Equilibrium / 2014–2023","ratio",0.128277096756646,0.156531998561429,0.176347165114253,0.178543202986068,0.199453705024818,0.255333117005963
