"Quantity","Period","Models","10%","Median","90%"
"SBrecent / SBF=0","2021–2024 / 2014–2023",80,0.174554102006625,0.278343268806794,0.383912801714596
"SBrecent / SBMSY","2021–2024",80,0.997431408802551,1.50722590514988,2.23649026363338
"Frecent / FMSY","2020–2023",80,0.594389269961902,0.838575750287964,1.19468991873444
"Mean depletion, 2012–2015","2012–2015",80,0.179712569717065,0.296652351645967,0.425699181749609
"Recent / 2012–2015 depletion","Recent / 2012–2015",80,0.907923499239142,0.954055767953901,0.998028884679612
