"axis","distribution","minimum","q25","median","mean","q75","maximum","sd"
"Steepness","0.2 + 0.8 * Beta(17.541500, 3.403575)",0.668842859607944,0.832689258832011,0.878653224858925,0.870083910149608,0.916592740640759,0.980467458423588,0.0629115338350823
"Quarterly M at age 40","Bounded logit-normal(0.050, 0.165; median 0.078136; mode 0.0702; logit-SD 0.803491)",0.05,0.0682303340160863,0.078136638322228,0.081448267094427,0.0911377943338864,0.165,0.0183853449529832
