"amax_years","adult_m_annual_median","adult_m_quarterly_median","m0_quarterly_median","m0_quarterly_lower95","m0_quarterly_upper95","adult_mean_to_m0_divisor"
13,0.415384615384615,0.103846153846154,0.0932505095738623,0.05079006110485,0.171207857337164,1.113625591117
15,0.36,0.09,0.0808171082973473,0.0440180529575367,0.148380143025542,1.113625591117
16,0.3375,0.084375,0.0757660390287631,0.0412669246476906,0.139106384086445,1.113625591117
