"","steepness","tag_tau","tag_mixing_k_cutoff","reporting_flag2","m_age40_quarterly","effort_primary"
"steepness",1,0.0230268287366277,0.0274953517818769,-0.0699783516308415,0.0361836183618362,0.0534015465367554
"tag_tau",0.0230268287366277,1,-0.0709763584810642,0.0738548945875996,0.0673747951923552,0.0522232967867094
"tag_mixing_k_cutoff",0.0274953517818769,-0.0709763584810642,1,-0.0126961026522138,0.0109407187383562,0.00748125023335072
"reporting_flag2",-0.0699783516308415,0.0738548945875996,-0.0126961026522138,1,-0.00969996953298793,-0.0141421356237309
"m_age40_quarterly",0.0361836183618362,0.0673747951923552,0.0109407187383562,-0.00969996953298793,1,-0.0764279014654481
"effort_primary",0.0534015465367554,0.0522232967867094,0.00748125023335072,-0.0141421356237309,-0.0764279014654481,1
