"tag_mixing_period","tag_mixing_source_file","source_sha256"
0.05,"bet.2026.mix-0.05.ini","512e33f82d14577c626da75445759543820075922e26ab194043dc5a5abae618"
0.1,"bet.2026.mix-0.1.ini","af56377544e4fce3dae47c13b30e8c5712cfe92b76cc65301fd1f04b07818921"
0.15,"bet.2026.mix-0.15.ini","cc59fc45e7d562004639e48932802c70119f01b554f95d7c1f667078efee6b64"
0.2,"bet.2026.mix-0.2.ini","bc97a32e15659cb07e65e8a2818a35fabc806f7446abc228eeaf6fa9c0a1bc82"
0.25,"bet.2026.mix-0.25.ini","a63a39af298d806ef8d3b7ae0377a283c2f9b0679f71fe6092195144433060b3"
0.3,"bet.2026.mix-0.3.ini","8bff7660ad5180dd96f8c8aff484a2f298852a8338361913686250d45e94ef02"
0.35,"bet.2026.mix-0.35.ini","cc59fc45e7d562004639e48932802c70119f01b554f95d7c1f667078efee6b64"
