"ensemble_id","draws","n_parameter","equilibrium_dependent_variables","equilibrium_curve_points","maximum_equilibrium_f_multiplier","central_f_multiplier_at_msy","central_sbmsy_mt","central_f_recent_fmsy_relative_error","central_sb_recent_sbmsy_relative_error","minimum_draw_f_multiplier_at_msy","maximum_draw_f_multiplier_at_msy","equilibrium_gradient_sha256","method"
"ensemble-053",100,1997,1731,456,4.55,1.41323529411766,571287.735294108,0.000166493236223221,2.59922166717975e-05,1.36773960037115,1.47196102999368,"1c0e704ca87feaf16f0e2c4600e53ef112081b9887278c6fa98adee1873368fb","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-054",100,1997,1677,438,4.37,1.40323529411763,378722.970588241,0.000167679731703382,6.21301421207788e-05,1.34107181910615,1.46753733288802,"6485a3e19703b6de759a322f2131425799e1d07c2a715fedb6ec5eed2308a875","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-055",100,1997,1521,386,3.85,1.36738095238095,699681.40476191,0.000278600034820405,2.71986329388301e-05,1.30953325958184,1.42057263236139,"d27ba0e51d9db0363179c302ffe5cca9be5ef5c0ce3652bdfd72c78304e9ea2f","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-057",100,1997,1746,461,4.6,1.56642857142859,166621.928571425,0.00027359781123112,0.000470105478184097,1.47616025355768,1.66017242333808,"31334d8c5f9cc5bb087ea69c5fbd4f59d85de200c7dbf340074bbd91cd43c2f3","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-059",100,1997,1026,221,2.2,0.744193548387096,386932.258064516,8.66926744979197e-06,7.95504767604997e-05,0.727981568332495,0.765932133292635,"2081f05e094e7e4e0b5188381f3510a1f514c06565aaa5ea17b749292239ad8e","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-063",100,1997,1356,331,3.3,1.07692307692308,243597.923076923,7.14285714278814e-05,0.000415760088477587,1.03065961781922,1.1251402394794,"dc62a5a02a2c1eea6b825a36badd8e0b7f2cdca7b3cd0b2780455ac647e0ff84","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-065",100,1997,1521,386,3.85,1.06349999999999,199525.050000004,0.000470145745170009,0.000129596567412245,1.01002527357572,1.1283662808877,"81c07470325fe49e918467020e39e0a2324d349586aa5ee8154e058ced635ceb","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-066",100,1997,1587,408,4.07,1.22312499999999,189822.437500003,0.000102197240664729,0.000408016091931741,1.16011237855543,1.30275409148925,"e20b3640fe973b517d4c8b2bd1d4512c4f9356bbdc383d863a42d9f8353f3bcd","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-068",100,1997,1356,331,3.3,1.08875,215500.249999999,0.000229621125139689,1.59893733911665e-05,1.03226762447305,1.12949291899563,"cef95eeffca25cc0188f07ec501154bf9cf0af9ad53397f2aca43bd1bbe210b8","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-069",100,1997,1323,320,3.19,1.005,225321,3.34732241924485e-16,0.000350547667811851,0.953930657261969,1.06463363865578,"729567857246e5d30c29091add65e0c884e49affb19808ed52495a64ba250d40","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-070",100,1997,1089,242,2.41,0.8215306122449,474805.040816325,3.72624518705859e-05,6.67483780925841e-06,0.797017547633542,0.848103976754714,"6c71478d863c5566e78ad7c90d9d60a7bd22a83126242ba574fd363edec7cde4","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-071",100,1997,2247,628,6.27,1.86785714285719,129471.999999995,7.64818355395333e-05,0.000536434144485631,1.65105229725066,2.05023803321957,"49be80a242958e1f8f93dba2de36e07c8cdc42201b659a41b7c416a28b754da6","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-072",100,1997,1680,439,4.38,1.18,333138,1.31006316905768e-16,0.000195285491672862,1.12038631024897,1.24767030971724,"cf7da38d556d18a8f9b8c3a3f4fdc7f92fdd6cda4ed466a8a2cff8d79ea37be9","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-073",100,1997,1329,322,3.21,0.9125,279604.5,0.00010958904109756,2.3563735511791e-05,0.864347664828858,0.944471549080195,"2365c541ee74c3f39f08de7b48816da8eb9f246576e9f9938b05608ca87085b5","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-074",100,1997,2352,663,6.62,2.00928571428573,112675.57142857,0.000355492356907487,0.000666854337730732,1.85117028336369,2.20009166421911,"cb5a786413c1ce76b007d9d291e523dc4b9477eee5c20399c04d813178186180","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-075",100,1997,1500,379,3.78,1.32261904761905,371951.428571429,0.000288028802880846,0.000127322341205095,1.27592446774352,1.37984322790121,"953c4de4a7adb7fc122f854149a8b43da2ee7ad0c118eb48473cb2204b157a87","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-076",100,1997,1443,360,3.59,1.19136363636363,217817.954545456,0.000305227012585819,7.95698619297535e-05,1.15197906814757,1.25141892990679,"ac9e27419de3229a202c9400d3f7986b934e24497fb2b0f57d69d3fa7abc9c2f","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-078",100,1997,1425,354,3.53,1.16545454545457,356823.999999988,0.00039001560064431,6.33991731654057e-05,1.12655679478644,1.23537189020797,"ea92f8ecf4afa16e31c4df6362d03ea48f9a71aea71e7d970a3d2d90523ae60d","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-080",100,1997,1440,359,3.58,1.16272727272727,211039.545454546,0.000234558248634795,0.000172059989439867,1.11258691987858,1.21591954632563,"e854a05a45374e7aeb6883ae3ad86a02c76697575efca4e79f894648cd974c09","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-081",100,1997,1203,280,2.79,0.979864864864857,728847.189189198,0.000168252654800633,0.000213090807477237,0.947366593223876,1.02599475042413,"9d21a3bea39e5cd04eb9acc0581e276482cbfaf80a77d4f1b8a8d248d01a92d1","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-082",100,1997,2169,602,6.01,1.54799999999998,130714.600000003,1.3577139412746e-14,0.000113761937762483,1.43920119428946,1.71038615299652,"b3aa65bd68283947c15e64dc461e3070c94eb5cb06ba7d9efe5a1ce2c39ad653","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-086",100,1997,2727,788,7.87,3.02642857142848,155841.928571437,0.00014160962942611,0.000368236327992793,2.77683070989461,3.24084227842944,"ca839cfff8b70607c6ff0d17d3d6fdad183a14dd8906158271ed8486fcfec291","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-087",100,1997,1809,482,4.81,1.53653846153848,322476.730769223,0.000300375469322134,0.000236820423632117,1.45288771573401,1.59405187401372,"01214c1acf1e578823f475f5ddd9581d031ab398cc2717360d4273d748f3a142","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-088",100,1997,1461,366,3.65,1.1940476190476,351787.952380961,3.98803589083625e-05,3.32763779325162e-05,1.13284807442594,1.25609659575693,"4170c23a1c334878a10c587eb943831b9a0bf295d5d61d9b43e408e00d946c21","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-089",100,1997,1521,386,3.85,1.13868421052631,186696.210526317,0.000277328403053878,2.49962095415957e-05,1.07428773391467,1.2053944500026,"a16c97983d1f28fc2ca9a1f5a73e497bce4be1649f79be9b6892842916202f60","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-090",100,1997,2301,646,6.45,1.63409090909092,669459.681818174,5.56328233738483e-05,0.000357823096004133,1.50661855933658,1.73630671460938,"54fd6bf24f68797ad474fbeaa752315ae7143b79bbbd4bd537ee4c95330f4155","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-091",100,1997,2064,567,5.66,1.68136363636362,160005.181818185,0.000378480670462887,4.32913642069995e-05,1.55888358200516,1.77214539346837,"de68b1f446866dae507ac92fca60ca06a8680a583cc2a51d625a004f9a5c59fc","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-092",100,1997,1998,545,5.44,1.68681818181821,152147.45454545,0.000485044462427224,0.000337585056534368,1.55882243774776,1.81619708913658,"f78a7e114a6716b1fd535f2c68fee85efa637eed5f68c9363f28245d06a6c7cb","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-093",100,1997,1362,333,3.32,1.03464285714285,496665.71428572,0.000345184673807803,0.00033284388786275,0.994992025203652,1.07749345708556,"6168d58526716fe97063c887bda7929f8c23bf3261eddf49c004595e81cd7ba5","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-094",100,1997,1422,353,3.52,1.1002,661013.599999996,0.000181785129980494,0.000163277738634323,1.05815281589369,1.1608376353423,"97a6ea9fa3ff4fed019ef4ea16fe92b184c86b647d248beef9e1087c2315828b","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-095",100,1997,1581,406,4.05,1.24450000000001,541546.849999995,0.000401767778218918,0.000456951540404718,1.18671314967399,1.30061658639409,"2ce698932481037d05036266b78103f34c26105a56b1b0fb6c859917ea3d467d","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-098",100,1997,1098,245,2.44,0.734,367434.8,0.000136239782016036,9.35950770120345e-05,0.707064739313946,0.757205476415271,"4d40cd916208f52aa681660e1338c0ecff16a34645e454bc53bf04e31f1b1b0e","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-099",100,1997,1380,339,3.38,1.119,385554.2,4.9693582582222e-16,0.000117367133065632,1.07792752381187,1.17185917683336,"c96dfa325e85c9155239ffd96202a42167caedb05f2093384f8d0b459a654208","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-100",100,1997,1209,282,2.81,0.768684210526317,297093.684210526,2.0540910642974e-05,2.3559639454359e-05,0.73699119726711,0.799848394839537,"2c88c0789722696a17e1fc5083d59db868f029ba29f3397f93b14a5e7e35fa03","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
